Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
28 Days Later...,28,R,Drama,2003-06-27,73.0,8000000.0,85720385,10,31,0,0,DNA Films,UK,113,Danny Boyle,1,10.715048125,28 Weeks Later,R,Drama,2007-05-11,15000000.0,65048678,4.336578533333330,100,Juan Carlos Fresnadillo,Fox Atomic,47
48 Hrs.,48,R,Action,1982-12-08,71.0,12000000.0,78868508,2,1,0,0,Paramount Pictures,USA,96,Walter Hill,1,6.572375666666670,Another 48 Hrs.,R,Action,1990-06-08,38000000.0,153518974,4.039973,93,Walter Hill,Paramount Pictures,90
Ace Ventura: Pet Detective,ace,PG-13,Comedy,1994-02-04,37.0,15000000.0,107217396,5,5,0,0,Morgan Creek Entertainment,USA,86,Tom Shadyac,1,7.1478264,Ace Ventura: When Nature Calls,PG-13,Adventure,1995-11-10,30000000.0,212385533,7.079517766666670,90,Steve Oedekerk,Morgan Creek Entertainment,21
The Addams Family,addams,PG-13,Comedy,1991-11-22,57.0,30000000.0,191502426,5,20,0,1,Orion Pictures,USA,99,Barry Sonnenfeld,1,6.3834142,Addams Family Values,PG-13,Comedy,1993-11-19,47000000.0,48919043,1.0408307021276600,94,Barry Sonnenfeld,Paramount Pictures,24
Agent Cody Banks,agent,PG,Action,2003-03-14,41.0,28000000.0,58795814,0,5,0,0,Metro-Goldwyn-Mayer (MGM),USA,102,Harald Zwart,1,2.0998505,Agent Cody Banks 2: Destination London,PG,Action,2004-03-12,26000000.0,28818995,1.1084228846153800,100,Kevin Allen,Dylan Sellers Productions,12
Alice in Wonderland,alice,PG,Adventure,2010-03-05,53.0,200000000.0,1025467110,33,63,1,1,Walt Disney Pictures,USA,108,Tim Burton,1,5.12733555,Alice Through the Looking Glass,PG,Adventure,2016-05-27,170000000.0,299457024,1.761511905882350,113,James Bobin,Walt Disney Pictures,74
Alien,alien,R,Horror,1979-06-22,89.0,11000000.0,108283202,16,21,1,1,Brandywine Productions,UK,117,Ridley Scott,1,9.843927454545450,Aliens,R,Action,1986-07-18,18500000.0,131335326,7.099206810810810,137,James Cameron,Twentieth Century Fox,85
Aliens,alien,R,Action,1986-07-18,84.0,18500000.0,131335326,18,23,1,1,Twentieth Century Fox,USA,137,James Cameron,2,7.099206810810810,Alien³,R,Action,1992-05-22,50000000.0,159814498,3.19628996,114,David Fincher,Twentieth Century Fox,70
Alien³,alien,R,Action,1992-05-22,59.0,50000000.0,159814498,5,24,0,1,Twentieth Century Fox,USA,114,David Fincher,3,3.19628996,Alien: Resurrection,R,Action,1997-11-26,75000000.0,161376069,2.15168092,109,Jean-Pierre Jeunet,Brandywine Productions,66
Alien: Resurrection,alien,R,Action,1997-11-26,63.0,75000000.0,161376069,7,21,0,0,Brandywine Productions,USA,109,Jean-Pierre Jeunet,4,2.15168092,Alien vs. Predator,PG-13,Action,2004-08-13,60000000.0,177427090,2.9571181666666700,101,Paul W.S. Anderson,Twentieth Century Fox,81
Alien vs. Predator,alien,PG-13,Action,2004-08-13,29.0,60000000.0,177427090,2,4,0,0,Twentieth Century Fox,USA,101,Paul W.S. Anderson,5,2.9571181666666700,Aliens vs. Predator: Requiem,R,Action,2007-12-25,40000000.0,130290885,3.257272125,94,Colin Strause,Twentieth Century Fox,40
Aliens vs. Predator: Requiem,alien,R,Action,2007-12-25,29.0,40000000.0,130290885,0,4,0,0,Twentieth Century Fox,USA,94,Colin Strause,6,3.257272125,Prometheus,R,Adventure,2012-06-08,130000000.0,403354469,3.1027266846153800,124,Ridley Scott,Twentieth Century Fox,54
Prometheus,alien,R,Adventure,2012-06-08,64.0,130000000.0,403354469,6,46,0,1,Twentieth Century Fox,USA,124,Ridley Scott,7,3.1027266846153800,Alien: Covenant,R,Horror,2017-05-19,97000000.0,240891763,2.483420237113400,122,Ridley Scott,Twentieth Century Fox,59
Alvin and the Chipmunks,alvin,PG,Animation,2007-12-14,39.0,60000000.0,365352546,3,2,0,0,Fox 2000 Pictures,USA,92,Tim Hill,1,6.0892091,Alvin and the Chipmunks: The Squeakquel,PG,Animation,2009-12-23,75000000.0,443140005,5.9085334,88,Betty Thomas,Fox 2000 Pictures,24
Alvin and the Chipmunks: The Squeakquel,alvin,PG,Animation,2009-12-23,41.0,75000000.0,443140005,3,0,0,0,Fox 2000 Pictures,USA,88,Betty Thomas,2,5.9085334,Alvin and the Chipmunks: Chipwrecked,G,Animation,2011-12-16,75000000.0,342695435,4.569272466666670,87,Mike Mitchell,Fox 2000 Pictures,24
An American Werewolf in London,american,R,Comedy,1981-08-21,60.0,10000000.0,30565292,2,3,1,1,Polygram Pictures,UK,97,John Landis,1,3.0565292,An American Werewolf in Paris,R,Comedy,1997-12-25,25000000.0,26570463,1.06281852,105,Anthony Waller,Hollywood Pictures,196
Anaconda,anaconda,PG-13,Action,1997-04-11,37.0,45000000.0,136885767,6,11,0,0,Cinema Line Film Corporation,USA,89,Luis Llosa,1,3.041905933333330,Anacondas: The Hunt for the Blood Orchid,PG-13,Action,2004-08-27,20000000.0,70992898,3.5496449,97,Dwight H. Little,Screen Gems,88
